"","V1"
"1",7.31277186897164e-09
"2",0.00206662063407853
"3",8.64218961832484e-14
"4",0.000155298946452801
"5",6.6302459597125e-15
"6",0.000106166010483028
"7",9.74353278191321e-06
"8",1.03032026752734e-07
"9",1.52837834711021e-05
"10",1.45197275826893e-05
"11",0.000127826523490583
"12",1.58269666295074e-13
"13",1.35918957320581e-07
"14",0.0135818550065052
"15",2.61377343330478e-07
"16",0.0119671657197403
"17",0.000162922687235895
"18",4.7975758982029e-12
"19",5.41727348015813e-15
"20",3.57940435516099e-10
"21",1.38054818286278e-07
"22",9.0350608263205e-12
"23",9.95190416498691e-05
"24",0.000146762087269306
"25",1.26637923662498e-14
"26",1.31451820198536e-05
"27",1.04024425762998e-11
"28",0.000611762554778553
"29",7.98534553638333e-14
"30",4.40184182323258e-12
"31",2.05224049947186e-05
"32",1.90671388454906e-10
"33",5.82811917790897e-15
"34",0.000161759397386424
"35",2.57840613801745e-12
"36",0.00212609905148423
"37",1.82627680771163e-09
"38",0.00205796156582299
"39",8.02633661425406e-15
"40",1.99686348183122e-07
"41",2.34360372418194e-05
"42",0.00194130019277041
"43",0.013952881306216
"44",3.80089304947855e-11
"45",0.000493712705699447
"46",0.00049341786317923
"47",2.90378584901228e-12
"48",0.00189213555792462
"49",0.000462510159886682
"50",8.76864748632225e-15
"51",0.0142805858879025
"52",9.92996215222843e-14
"53",1.41665374329364e-09
"54",3.55469717919397e-12
"55",5.07494519093181e-15
"56",0.00210656421546665
"57",0.0131324398534932
"58",2.21165598155763e-09
"59",0.0120145146851749
"60",3.24283123539096e-09
"61",0.000493334424211136
"62",0.0120304395153568
"63",0.000571934590541179
"64",3.564962136315e-07
"65",5.58275171705803e-15
"66",0.00199788338529398
"67",0.0135395447748691
"68",5.13516678701785e-14
"69",0.000540418022151816
"70",6.48413962635257e-06
"71",0.000118990828918387
"72",8.61230593740109e-15
"73",0.0020441894488177
"74",7.94097933477841e-12
"75",1.54965756324102e-11
"76",9.33030362895487e-08
"77",4.95989110761461e-06
"78",0.000122323364863026
"79",5.48058907584392e-06
"80",1.11284257831953e-05
"81",4.30970786499597e-15
"82",4.02839990614675e-07
"83",8.82310673315828e-14
"84",0.000166426544880758
"85",5.56994348768372e-07
"86",0.000564224484651876
"87",2.29781111238326e-09
"88",1.16364326395047e-14
"89",4.24180438064794e-10
"90",7.83112360500081e-07
"91",5.85999673320595e-15
"92",4.59766315858007e-12
"93",4.37807500961819e-07
"94",1.88317235150386e-05
"95",1.45128237040803e-07
"96",5.50943720530925e-15
"97",4.32874503800691e-14
"98",1.38279052508256e-05
"99",1.18179238101926e-09
"100",3.87250867202801e-11
